Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Capital Use Type,Guideway,Guideway Questionable,Stations,Stations Questionable,Administrative Buildings,Administrative Buildings Questionable,Maintenance Buildings,Maintenance Buildings Questionable,Passenger Vehicles,Passenger Vehicles Questionable,Other Vehicles,Other Vehicles Questionable,Fare Collection Equipment,Fare Collection Equipment Questionable,Communication & Information Systems,Communication & Information Systems Questionable,Other,Other Questionable,Reduced Reporter Expenses,Reduced Reporter Questionable,Total,Total Questionable
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",Pensacola,FL,40038,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,68482,"Pensacola, FL--AL","390,172",86,MB,Bus,DO,45,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"7,536",,"25,724",,0,,"1,725,960",,0,,0,,"210,032",,0,,0,,"1,969,252",
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,40001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15832,"Chattanooga, TN--GA","398,569",86,IP,Inclined Plane,DO,2,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"43,813",,0,,0,,0,,"17,019",,0,,0,,0,,0,,0,,"60,832",
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,67105,"Palm Bay--Melbourne, FL","510,675",86,DR,Demand Response,DO,32,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"75,835",,0,,0,,"52,258",,0,,0,,"128,093",
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,90006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79336,"Santa Cruz, CA","169,038",86,CB,Commuter Bus,DO,6,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"21,528",,0,,0,,0,,0,,0,,"21,528",
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",Pensacola,FL,40038,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,68482,"Pensacola, FL--AL","390,172",86,DR,Demand Response,PT,41,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"355,570",,0,,0,,0,,0,,0,,"355,570",
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,40001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15832,"Chattanooga, TN--GA","398,569",86,DR,Demand Response,DO,20,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,"142,282",,0,,0,,"142,282",
"Southeast Vermont Transit, Inc",Wilmington,VT,10144,Private-Non-Profit Corporation,Rural Reporter,2022,,,,85,DR,Demand Response,DO,47,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"38,741",,"38,741",
"City of Lubbock, dba: CITIBUS",Lubbock,TX,60010,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51877,"Lubbock, TX","272,280",85,DR,Demand Response,DO,25,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,595,485",,0,,0,,0,,0,,0,,"1,595,485",
"Southeast Vermont Transit, Inc",Wilmington,VT,10144,Private-Non-Profit Corporation,Rural Reporter,2022,,,,85,MB,Bus,DO,33,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"65,212",,"65,212",
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,90206,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79147,"San Luis Obispo, CA","56,904",41,MB,Bus,DO,22,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,"9,256,896",,0,,0,,0,,0,,0,,0,,"9,256,896",
"Peninsula Corridor Joint Powers Board, dba: Caltrain",San Carlos,CA,90134,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78904,"San Francisco--Oakland, CA","3,515,933",85,CR,Commuter Rail,PT,85,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"424,954,204",,"17,753,913",,0,,"136,163",,"157,170,076",,0,,"1,445,424",,"10,003,758",,0,,0,,"611,463,538",
"City of Lubbock, dba: CITIBUS",Lubbock,TX,60010,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51877,"Lubbock, TX","272,280",85,MB,Bus,DO,60,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"24,795",,"21,293",,0,,0,,0,,"381,983",,0,,0,,"428,071",
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,50392,"Little Rock, AR","461,864",83,MB,Bus,DO,34,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"149,822",,"513,244",,"4,470,029",,"139,018",,620,,"930,531",,"359,104",,0,,"6,562,368",
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,50392,"Little Rock, AR","461,864",83,DR,Demand Response,DO,28,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"8,100",,0,,"1,486,662",,0,,0,,"53,064",,"22,578",,0,,"1,570,404",
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,50392,"Little Rock, AR","461,864",83,SR,Streetcar Rail,DO,2,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"712,752",,0,,"12,141",,"23,000",,"50,903",,0,,0,,0,,738,,0,,"799,534",
Brockton Area Transit Authority,Brockton,MA,10004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009",82,DR,Demand Response,PT,38,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"615,519",,0,,0,,0,,0,,0,,"615,519",
Brockton Area Transit Authority,Brockton,MA,10004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009",82,MB,Bus,PT,44,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"157,735",,"13,358",,"371,056",,"1,625,748",,"49,699",,"366,836",,"10,813",,"49,015",,0,,"2,644,260",
Panhandle Community Services,Amarillo,TX,60192,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,1927,"Amarillo, TX","205,860",82,DR,Demand Response,DO,82,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"865,354",,"865,354",
Tri-Valley Transit Inc,Middlebury,VT,10143,Private-Non-Profit Corporation,Rural Reporter,2022,,,,81,CB,Commuter Bus,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"5,580",,"5,580",
Tri-Valley Transit Inc,Middlebury,VT,10143,Private-Non-Profit Corporation,Rural Reporter,2022,,,,81,MB,Bus,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"9,788",,"9,788",
Tri-Valley Transit Inc,Middlebury,VT,10143,Private-Non-Profit Corporation,Rural Reporter,2022,,,,81,DR,Demand Response,DO,59,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"220,719",,"220,719",
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,40108,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,25228,"Durham, NC","396,118",80,MB,Bus,DO,40,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"1,649,160",,"357,412",,0,,0,,0,,"1,955,508",,"110,115",,0,,"4,072,195",
Santa Barbara Metropolitan Transit District,Santa Barbara,CA,90020,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79282,"Santa Barbara, CA","202,197",80,MB,Bus,DO,80,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"5,981",,"18,174",,"1,269,912",,"1,067,947",,0,,"79,035",,"30,698",,"16,961",,0,,"2,488,708",
Marin County Transit District,San Rafael,CA,90234,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78904,"San Francisco--Oakland, CA","3,515,933",80,MB,Bus,PT,59,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"72,436",,"644,471",,"4,998,987",,0,,0,,"81,037",,"136,785",,0,,"5,933,716",
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,40108,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,25228,"Durham, NC","396,118",80,DR,Demand Response,DO,14,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,518,544",,0,,0,,0,,0,,0,,"1,518,544",
Northern Cheyenne Tribe,Lame Deer,MT,88116,Tribe,Reduced Reporter,2022,30,Montana Non-UZA,"688,772",2,MB,Bus,DO,2,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"962,934",,"962,934",
MetroWest Regional Transit Authority,Framingham,MA,10118,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009",80,MB,Bus,PT,37,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"1,173,452",,"924,277",,"179,450",,0,,"112,421",,0,,0,,"2,389,600",
MetroWest Regional Transit Authority,Framingham,MA,10118,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009",80,DR,Demand Response,PT,43,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"3,171,055",,0,,0,,"58,045",,0,,0,,"3,229,100",
Marin County Transit District,San Rafael,CA,90234,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78904,"San Francisco--Oakland, CA","3,515,933",80,DR,Demand Response,PT,21,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"36,427",,"4,254,163",,"14,829",,0,,0,,"27,278",,0,,0,,"4,332,697",
Metropolitan Tulsa Transit Authority,Tulsa,OK,60018,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,88948,"Tulsa, OK","722,810",78,MB,Bus,DO,41,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"5,627",,"726,639",,"121,116",,"4,091,567",,0,,0,,"441,043",,0,,0,,"5,385,992",
"Johnson County Kansas, dba: Johnson County Transit",Olathe,KS,70035,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,43912,"Kansas City, MO--KS","1,674,218",78,MB,Bus,PT,19,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"2,079,918",,"81,148",,0,,0,,0,,0,,"2,161,066",
Erie Metropolitan Transit Authority,Erie,PA,30013,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,27766,"Erie, PA","187,820",78,MB,Bus,DO,45,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"560,613",,"104,844",,"4,637,591",,0,,"126,400",,"108,942",,"143,148",,0,,"5,681,538",
Lowell Regional Transit Authority,Lowell,MA,10005,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009",78,MB,Bus,PT,42,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"78,253",,0,,"37,722",,0,,0,,0,,0,,"115,975",
"Johnson County Kansas, dba: Johnson County Transit",Olathe,KS,70035,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,43912,"Kansas City, MO--KS","1,674,218",78,DR,Demand Response,PT,22,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,222,075",,0,,0,,0,,0,,0,,"1,222,075",
Metropolitan Tulsa Transit Authority,Tulsa,OK,60018,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,88948,"Tulsa, OK","722,810",78,MB,Bus,PT,16,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"93,133",,0,,0,,0,,0,,0,,"93,133",
Erie Metropolitan Transit Authority,Erie,PA,30013,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,27766,"Erie, PA","187,820",78,DR,Demand Response,DO,33,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,193,007",,0,,0,,0,,0,,0,,"1,193,007",
"Johnson County Kansas, dba: Johnson County Transit",Olathe,KS,70035,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,43912,"Kansas City, MO--KS","1,674,218",78,CB,Commuter Bus,PT,15,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"455,046",,0,,0,,0,,0,,0,,"455,046",
"County of Hawaii Mass Transit Agency, dba: County of Hawai'i Mass Transit Agency",Hilo,HI,91080,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,77,VP,Vanpool,PT,18,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"12,206",,"12,206",
"County of Hawaii Mass Transit Agency, dba: County of Hawai'i Mass Transit Agency",Hilo,HI,91080,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,77,MB,Bus,PT,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"28,157",,"28,157",
"County of Hawaii Mass Transit Agency, dba: County of Hawai'i Mass Transit Agency",Hilo,HI,91080,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,77,CB,Commuter Bus,PT,27,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"204,216",,"204,216",
Charleston Area Regional Transportation Authority,North Charleston,SC,40110,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,15508,"Charleston, SC","684,773",77,MB,Bus,PT,51,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"931,427",,"78,570",,"17,286",,"18,005,924",,0,,0,,0,,"342,765",,0,,"19,375,972",
Greater Peoria Mass Transit District,Peoria,IL,50056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,68509,"Peoria, IL","259,781",77,MB,Bus,DO,45,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"691,976",,"2,685,511",,"4,533,633",,"1,388,217",,0,,0,,"623,651",,0,,0,,"9,922,988",
"City of Greensboro , dba: Greensboro Transit Authority",Greensboro,NC,40093,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,35164,"Greensboro, NC","338,928",76,DR,Demand Response,PT,35,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"162,163",,0,,0,,0,,0,,0,,"162,163",
"City of Greensboro , dba: Greensboro Transit Authority",Greensboro,NC,40093,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,35164,"Greensboro, NC","338,928",76,MB,Bus,PT,41,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"177,441",,0,,0,,"2,793,721",,0,,0,,"13,021",,0,,0,,"2,984,183",
Bay Area Transportation Authority,Traverse City,MI,50413,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,88300,"Traverse City--Garfield, MI","56,890",76,DR,Demand Response,DO,28,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"679,240",,"679,240",
Town of Mountain Village,Telluride,CO,80256,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,75,TR,Aerial Tramway,DO,71,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"307,055",,"307,055",
City of Milwaukee,Milwaukee,WI,55312,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,57466,"Milwaukee, WI","1,306,795",3,SR,Streetcar Rail,PT,3,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"12,031",,0,,0,,0,,0,,0,,0,,"12,031",
"City of Torrance, dba: Torrance Transit System",Torrance,CA,90010,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",74,MB,Bus,DO,38,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"581,411",,"16,444",,0,,0,,"141,500",,0,,"383,902",,"72,362",,0,,"1,195,619",
"Westmoreland County , dba: Westmoreland County Transit Authority",Greensburg,PA,30044,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",73,MB,Bus,DO,31,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"38,359",,0,,"830,444",,0,,0,,0,,"1,036",,0,,0,,"869,839",
Southeastern Regional Transit Authority,New Bedford,MA,10006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,61786,"New Bedford, MA","155,491",73,DR,Demand Response,PT,24,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"42,989",,0,,0,,0,,0,,0,,"42,989",
"City of Lincoln, dba: StarTran",Lincoln,NE,70001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,49933,"Lincoln, NE","291,217",73,MB,Bus,DO,56,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"1,924,806",,"6,918,570",,0,,0,,"183,509",,0,,0,,"9,026,885",
Big Bend Transit,Tallahassee,FL,41153,Private-Non-Profit Corporation,Rural Reporter,2022,,,,73,DR,Demand Response,DO,61,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"41,104",,"41,104",
"Westmoreland County , dba: Westmoreland County Transit Authority",Greensburg,PA,30044,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",73,DR,Demand Response,DO,42,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,"6,229",,"45,317",,0,,"51,546",
"Cobb County, dba: CobbLinc",Marietta,GA,40078,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,3817,"Atlanta, GA","5,100,112",73,MB,Bus,PT,51,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"140,300",,0,,0,,0,,0,,0,,0,,"2,825,058",,0,,"2,965,358",
